"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00001322","mujeres","Centro 12","Socios XXX123","Socios","Jefes","Jefes","Dirección General de Recu","","Responsable Área Gestión","100","fijo","0","","100","31","1","1","Dec-21",""
"00001324","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001325","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001329","mujeres","Centro 2","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001330","mujeres","Centro 5","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001331","mujeres","Centro 5","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001332","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001334","hombres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","31","1","1","Dec-21",""
"00001335","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","9","0.290322581","0.290322581","Dec-21",""
"00001640","hombres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","19","0.612903226","0.612903226","Dec-21",""
"00001640","hombres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","75","3","0.072580645","0.096774194","Dec-21",""
"00001336","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001337","mujeres","Centro 2","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Secundaria","","Coordinador","100","fijo","0","","100","31","1","1","Dec-21",""
"00001339","hombres","Centro 6","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Actividades Extraescolare","","Coordinador AAEE","100","fijo","0","","100","31","1","1","Dec-21",""
"00001340","hombres","Centro 12","Socios XXX123","Socios","Directores","Directores","Dirección General de Educ","","Director","100","fijo","0","","100","31","1","1","Dec-21",""
"00001341","mujeres","Centro 3","Socios XXX123","Socios","Jefes","Jefes","Primaria","","Subjefe Estudios Primaria","100","fijo","0","","100","31","1","1","Dec-21",""
"00001342","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001343","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001344","mujeres","Centro 3","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Secundaria","","Coordinador","100","fijo","0","","100","31","1","1","Dec-21",""
"00001345","hombres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001346","mujeres","Centro 4","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","31","1","1","Dec-21",""
"00001347","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001348","hombres","Centro 6","Socios XXX123","Socios","Jefes","Jefes","Infantil","","Jefe Estudios Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001349","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","31","1","1","Dec-21",""
"00001350","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001351","hombres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","FP","","Jefe de Estudios","100","fijo","0","","100","31","1","1","Dec-21",""
"00001352","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001354","hombres","Centro 12","Socios XXX123","Socios","Directores","Directores","Área Gestión","","Compliance Officer","100","fijo","0","","100","31","1","1","Dec-21",""
"00001356","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001357","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001358","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001359","mujeres","Centro 5","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","31","1","1","Dec-21",""
"00001360","mujeres","Centro 3","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","31","1","1","Dec-21",""
"00001361","hombres","Centro 2","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","31","1","1","Dec-21",""
"00001362","hombres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","31","1","1","Dec-21",""
"00001363","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001364","mujeres","Centro 3","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Recepcionista","100","fijo","0","","100","31","1","1","Dec-21",""
"00001366","mujeres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Club Deportivo","","Coordinador Club Deportivo","100","fijo","0","","100","31","1","1","Dec-21",""
"00001367","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001368","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001369","mujeres","Centro 12","Socios XXX123","Socios","Jefes","Jefes","Dirección General de Recu","","Responsable Área Gestión","100","fijo","0","","100","31","1","1","Dec-21",""
"00001370","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001372","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Prof. Terapéuta","100","fijo","0","","100","31","1","1","Dec-21",""
"00001373","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001374","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001375","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001376","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001377","mujeres","Centro 4","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001378","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001379","hombres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","Primaria","","Subjefe de Estudios","100","fijo","0","","100","31","1","1","Dec-21",""
"00001382","hombres","Centro 12","Socios XXX123","Socios","Dire. General","Dirección General","Dirección General de Recu","","Director Senior","100","fijo","0","","100","31","1","1","Dec-21",""
"00001383","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001384","hombres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","31","1","1","Dec-21",""
"00001385","mujeres","Centro 1","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001386","mujeres","Centro 5","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001387","mujeres","Centro 7","Socios XXX123","Socios","Jefes","Jefes","Admón. y Servicios","","Jefe Admón. y Servicios","100","fijo","0","","100","31","1","1","Dec-21",""
"00001390","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","1","31","0.01","1","Dec-21",""
"00001391","mujeres","Centro 2","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001392","hombres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Club Deportivo","","Coordinador de Sección","100","fijo","0","","100","31","1","1","Dec-21",""
"00001393","mujeres","Centro 6","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Infantil","","Coordinador Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001394","mujeres","Centro 12","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Dirección General de Recu","","Técnico Área","100","fijo","0","","100","31","1","1","Dec-21",""
"00001395","mujeres","Centro 1","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001396","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001397","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","31","1","1","Dec-21",""
"00001399","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001400","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001401","hombres","Centro 12","Socios XXX123","Socios","Directores","Mandos intermedios","Dirección General de Desa","","Coordinador","100","fijo","0","","100","31","1","1","Dec-21",""
"00001402","mujeres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","Secundaria","","Subjefe de Estudios","100","fijo","0","","100","31","1","1","Dec-21",""
"00001403","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001404","mujeres","Centro 5","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001405","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001406","mujeres","Centro 5","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001407","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001408","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001409","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001410","hombres","Centro 6","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","31","1","1","Dec-21",""
"00001411","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001412","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001640","hombres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","9","0.290322581","0.290322581","Dec-21",""
"00002353","hombres","Centro 6","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","150","fijo","0","","100","19","0.612903226","0.612903226","Dec-21",""
"00002353","hombres","Centro 6","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","150","fijo","0","","75","1","0.024193548","0.032258065","Dec-21",""
"00002353","hombres","Centro 6","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","150","fijo","0","","100","11","0.35483871","0.35483871","Dec-21",""
"00001219","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","75","3","0.072580645","0.096774194","Dec-21",""
"00001415","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001416","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001417","hombres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001219","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","28","0.903225806","0.903225806","Dec-21",""
"00001421","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001422","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001424","mujeres","Centro 2","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001425","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001426","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","75","1","0.024193548","0.032258065","Dec-21",""
"00001427","mujeres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","D.O.P.","","Responsable D.O.P.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001428","hombres","Centro 5","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","31","1","1","Dec-21",""
"00001429","mujeres","Centro 12","Socios XXX123","Socios","Dire. General","Dirección General","Dirección General","","Secretaría General","100","fijo","0","","100","31","1","1","Dec-21",""
"00001430","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001431","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001434","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001436","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001437","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001438","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","31","1","1","Dec-21",""
"00001439","mujeres","Centro 3","Socios XXX123","Socios","Jefes","Jefes","Infantil","","Subjefe de Estudios","100","fijo","0","","100","31","1","1","Dec-21",""
"00001440","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001441","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001442","mujeres","Centro 4","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","31","1","1","Dec-21",""
"00001443","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","31","1","1","Dec-21",""
"00001444","hombres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","Secundaria","","Jefe de Estudios","100","fijo","0","","100","31","1","1","Dec-21",""
"00001445","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Prof. Terapéuta","100","fijo","0","","100","31","1","1","Dec-21",""
"00001447","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","31","1","1","Dec-21",""
"00001448","mujeres","Centro 3","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001450","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001451","hombres","Centro 12","Socios XXX123","Socios","Jefes","Mandos intermedios","Dirección General de Desa","","Coordinador","100","fijo","0","","100","31","1","1","Dec-21",""
"00001452","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001453","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001660","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","Incapacidad Física","Maestro","100","fijo","60","Sí","100","30","1","1","Sep-21",""
"00001456","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001457","mujeres","Centro 2","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001458","hombres","Centro 3","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001459","hombres","Centro 2","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Técnico Mantenimiento","100","fijo","0","","100","31","1","1","Dec-21",""
"00001460","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","FP","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001462","hombres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001464","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Resp. Vertical","100","fijo","0","","100","31","1","1","Dec-21",""
"00001465","mujeres","Centro 2","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Asociación Cultural","","Coordinador Escuela de Música","100","fijo","0","","100","31","1","1","Dec-21",""
"00001466","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001467","mujeres","Centro 3","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","31","1","1","Dec-21",""
"00001468","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Orientador Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001426","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","0.967741935","0.967741935","Dec-21",""
"00001581","hombres","Centro 7","Socios XXX123","Socios","Per. Docente","Directores","Secundaria","","Profesor","150","fijo","0","","100","14","0.451612903","0.451612903","Dec-21",""
"00001581","hombres","Centro 7","Socios XXX123","Socios","Per. Docente","Directores","Secundaria","","Profesor","540","fijo","0","","25","17","0.137096774","0.548387097","Dec-21",""
"00001472","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","31","1","1","Dec-21",""
"00001473","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001474","hombres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001475","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001476","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001477","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001478","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Asociación Cultural","","Coordinador Escuela de Música","100","fijo","0","","100","31","1","1","Dec-21",""
"00001479","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Orientador Primaria","100","fijo","0","","100","31","1","1","Dec-21",""
"00001480","mujeres","Centro 6","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001481","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001483","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001485","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001486","mujeres","Centro 6","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","31","1","1","Dec-21",""
"00001487","mujeres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","Secundaria","","Subjefe Estudios Secundaria","100","fijo","0","","100","31","1","1","Dec-21",""
"00001488","hombres","Centro 3","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","31","1","1","Dec-21",""
"00001492","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001493","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","71.42","31","0.7142","1","Dec-21",""
"00001494","mujeres","Centro 4","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","31","1","1","Dec-21",""
"00001497","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001498","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001499","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001500","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001506","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001507","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001508","hombres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","FP","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001510","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001512","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001514","hombres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","TIC","","Coordinador TIC","100","fijo","0","","100","31","1","1","Dec-21",""
"00001515","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001516","mujeres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001517","hombres","Centro 5","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","31","1","1","Dec-21",""
"00001519","mujeres","Centro 6","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","31","1","1","Dec-21",""
"00001520","hombres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001521","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","","","Profesor","100","fijo","0","","52","31","0.52","1","Dec-21",""
"00001522","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001524","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro Tutor","100","fijo","0","","100","31","1","1","Dec-21",""
"00001525","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","31","1","1","Dec-21",""
"00001857","mujeres","Centro 12","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Dirección General de Desa","","Responsable Área Gestión","100","fijo","0","","100","31","1","1","Dec-21",""
"00001273","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","20","0.64516129","0.64516129","Dec-21",""
