"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00006239","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","12","0.387096774","0.387096774","Jan-22",""
"00006104","hombres","Centro 1","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","12.34","31","0.1234","1","Jan-22",""
"00005925","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","21","0.677419355","0.677419355","Jan-22",""
"00005925","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","1","0.032258065","0.032258065","Jan-22",""
"00005858","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","8","0.258064516","0.258064516","Jan-22",""
"00005858","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","6","0.193548387","0.193548387","Jan-22",""
"00005858","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","6","0.193548387","0.193548387","Jan-22",""
"00006269","hombres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","410","Temporal ","0","","100","5","0.161290323","0.161290323","Jan-22",""
"00006269","hombres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","410","Temporal ","0","","100","13","0.419354839","0.419354839","Jan-22",""
"00006162","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Docente","Personal docente","FP","","Profesor","501","Temporal ","0","","8","31","0.08","1","Jan-22",""
"00005943","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","80","31","0.8","0.5","Jan-22",""
"00006007","mujeres","Centro 2","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","20","31","0.2","0.5","Jan-22",""
"00005543","hombres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","FP","","Profesor","520","Temporal ","0","","16","31","0.16","0.5","Jan-22",""
"00006018","hombres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","FP","","Profesor","520","Temporal ","0","","84","31","0.84","0.5","Jan-22",""
"00003381","hombres","Centro 5","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Cocina","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00003435","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00004294","mujeres","Centro 12","Enseñanza Privada","No socios","Per. Admin.","Personal de Administración y Conserjería","Dirección General de Recu","","Auxiliar Administrativo","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005010","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005022","hombres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005026","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005210","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005388","hombres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
