Período : 01.09.2023 - 31.08.2024,

Socio,Rango
1457,Entre 40.000 y 50.000
1460,Entre 40.000 y 50.000
1461,Entre 30.000 y 35.000
1462,Entre 35.000 y 37.500
1464,Entre 35.000 y 37.500
1465,Entre 35.000 y 37.500
1466,Entre 35.000 y 37.500
1467,Menos de 20.000
1468,Entre 35.000 y 37.500
1469,Entre 30.000 y 35.000
1471,Menos de 20.000
1472,Entre 25.000 y 30.000
1473,Entre 40.000 y 50.000
1474,Entre 35.000 y 37.500
1475,Entre 37.500 y 40.000
1476,Entre 35.000 y 37.500
1477,Entre 35.000 y 37.500
1478,Entre 37.500 y 40.000
1479,Entre 37.500 y 40.000
1480,Entre 40.000 y 50.000
1481,Entre 35.000 y 37.500
1483,Entre 40.000 y 50.000
1485,Entre 30.000 y 35.000
1486,Entre 20.000 y 25.000
1487,Entre 40.000 y 50.000
1488,Entre 35.000 y 37.500
1491,Entre 37.500 y 40.000
1492,Entre 35.000 y 37.500
1493,Entre 35.000 y 37.500
1494,Menos de 20.000
1495,Menos de 20.000
1497,Entre 35.000 y 37.500
1498,Entre 35.000 y 37.500
1499,Entre 37.500 y 40.000
1500,Entre 35.000 y 37.500
1501,Entre 40.000 y 50.000
1503,Entre 30.000 y 35.000
1506,Entre 40.000 y 50.000
1507,Entre 40.000 y 50.000
1508,Entre 40.000 y 50.000
1510,Entre 37.500 y 40.000
1511,Menos de 20.000
1512,Entre 35.000 y 37.500
1513,Entre 20.000 y 25.000
1514,Entre 40.000 y 50.000
1515,Entre 37.500 y 40.000
1516,Entre 37.500 y 40.000
1517,Entre 40.000 y 50.000
1519,Menos de 20.000
1520,Entre 40.000 y 50.000
1521,Menos de 20.000
1522,Entre 35.000 y 37.500
1524,Entre 35.000 y 37.500
1525,Entre 35.000 y 37.500
1526,Menos de 20.000
1527,Entre 20.000 y 25.000
1531,Entre 20.000 y 25.000
1532,Entre 35.000 y 37.500
1534,Entre 40.000 y 50.000
1535,Entre 30.000 y 35.000
1536,Entre 40.000 y 50.000
1538,Entre 40.000 y 50.000
1540,Menos de 20.000
1542,Entre 40.000 y 50.000
1543,Menos de 20.000
1544,Entre 37.500 y 40.000
1545,Menos de 20.000
1546,Entre 35.000 y 37.500
1547,Entre 35.000 y 37.500
1548,Menos de 20.000
1552,Entre 20.000 y 25.000
1553,Entre 20.000 y 25.000
1554,Entre 30.000 y 35.000
1555,Entre 40.000 y 50.000
1556,Entre 37.500 y 40.000
1557,Menos de 20.000
1558,Entre 30.000 y 35.000
1561,Entre 25.000 y 30.000
1564,Entre 30.000 y 35.000
1565,Entre 35.000 y 37.500
1566,Entre 40.000 y 50.000
1567,Entre 40.000 y 50.000
1568,Entre 40.000 y 50.000
1569,Entre 40.000 y 50.000
1570,Entre 35.000 y 37.500
1571,Entre 40.000 y 50.000
1572,Entre 40.000 y 50.000
1573,Menos de 20.000
1574,Entre 30.000 y 35.000
1575,Entre 30.000 y 35.000
1576,Entre 40.000 y 50.000
1577,Entre 40.000 y 50.000
1578,Entre 40.000 y 50.000
1579,Entre 37.500 y 40.000
1580,Entre 20.000 y 25.000
1581,Menos de 20.000
1582,Entre 35.000 y 37.500
1583,Entre 37.500 y 40.000
1585,Entre 40.000 y 50.000
1586,Entre 37.500 y 40.000
1587,Entre 40.000 y 50.000
1589,Entre 40.000 y 50.000
1590,Entre 25.000 y 30.000
1592,Entre 40.000 y 50.000
1593,Entre 30.000 y 35.000
1594,Entre 35.000 y 37.500
1595,Entre 25.000 y 30.000
1596,Entre 20.000 y 25.000
1598,Entre 40.000 y 50.000
1599,Entre 35.000 y 37.500
